cod_producto_comercial;cod_modalidad;fec_alta;cod_va;cod_pais;fec_baja;ind_obligatorio;cod_grp_va_obligatorio;tipo_emb;num_intentos_entrega_min;num_intentos_entrega_max;tiempo_lista_min;tiempo_lista_max;importe_min;importe_max;tiempo_custodia;ind_envio;fec_creacion;fec_actualizacion
PAAZV1;DOURUA;2024-04-19 00:00:00;ENRECPA;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;DEU;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;AUT;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;BEL;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;FRA;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;GRC;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;IRL;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;ITA;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;LUX;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;VADEPA;ESP;;f;;0;0;0;0;0;1.50;6000.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;VADEPA;ESP;;f;;0;0;0;0;0;1.50;6000.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;CIUAOF;2024-04-19 00:00:00;VADEPA;ESP;;f;;0;0;0;0;0;1.50;6000.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;NLD;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;PRT;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;GBR;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;HRV;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;SVK;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;SVN;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;EST;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;HUN;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;LVA;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;LTU;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;POL;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;CZE;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;ROU;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;DOURUA;2024-04-19 00:00:00;SEINPA;MLT;;f;;0;0;0;0;0;0.01;3000.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
POAXAC1;NTAPEU;2024-08-30 00:00:00;RIENPO;ESP;;t;1;;0;0;0;0;0.00;0.00;0;f;2024-08-30 00:00:00;2024-10-17 00:00:00
POAXAC1;NTAPEU;2024-08-30 00:00:00;PEE5TO;ESP;;t;2;;0;0;0;0;0.00;0.00;0;f;2024-08-30 00:00:00;2024-10-17 00:00:00
POAXAC1;NTAPEU;2024-08-30 00:00:00;PEE10TO;ESP;;t;2;;0;0;0;0;0.00;0.00;0;f;2024-08-30 00:00:00;2024-10-17 00:00:00
POAXAC1;NTAPEU;2024-08-30 00:00:00;PEE15TO;ESP;;t;2;;0;0;0;0;0.00;0.00;0;f;2024-08-30 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;CUW;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;CUW;;f;;;0;0;0;0;0.01;115.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;DMA;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;ECU;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;EGY;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;EGY;;f;;;0;0;0;0;0.01;1418.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;SLV;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;ARE;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;ARE;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;ERI;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;ETH;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;PHL;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;FJI;;f;;;0;0;0;0;0.01;334.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GAB;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;GAB;;f;;;0;0;0;0;0.01;368.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GEO;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;GEO;;f;;;0;0;0;0;0.01;227.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GHA;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;GHA;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GRD;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GTM;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GIN;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GNB;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;GNB;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;GUY;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;HTI;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;HND;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;HKG;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;HKG;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;IND;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
