cod_va;cod_perfil;fec_alta;cod_idioma_alpha2;fec_baja;nom_va;desc_va;desc_va_ext;fec_creacion;fec_actualizacion
RIENPO;1;2024-08-30 00:00:00;es;;Retorno de Información enriquecido;Permite el seguimiento telemático por parte del cliente de los procesos de distribución y entrega de sus envíos;Se recibe la información completa concerniente a todos los eventos del envío en formato XML;2024-08-30 00:00:00;2024-08-30 00:00:00
SEINPA;3;2024-08-30 00:00:00;es;;Seguro Internacional;Asegura tu envío internacional por un máximo de 3.000 ? (según país de destino). Sólo disponible para envíos a países que lo admitan;El máximo de la indemnización dependerá de la cantidad asegurada;2024-08-30 00:00:00;2024-08-30 00:00:00
GECCMPO;1;2024-10-17 00:00:00;es;;Gestión de Entrega de Cartas Certificadas;Aplica al envío dos intentos de entrega bajo firma, el segundo si resulta fallido el primero;Ambos intentos se realizan en turno de mañana, aunque se podrán ajustar en función de las necesidades de servicio que Correos estime oportunas;2024-10-17 00:00:00;2024-10-17 00:00:00
VDNAPO;1;2024-10-17 00:00:00;es;;Valor Declarado;Asegura tu envío declarando su valor hasta un límite de 3.000 ?;El máximo de la indemnización dependerá de la cantidad asegurada;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;1;2024-10-17 00:00:00;es;;Gestión y Digitalización de Documentos;Recibe de forma digital tus Avisos de Recibo, que custodiará Correos por ti;Además, también recibirás la información asociada por la vía telemática segura que prefieras;2024-10-17 00:00:00;2024-10-17 00:00:00
CLAENPO;1;2024-10-17 00:00:00;es;;Clasificación de Envíos;Servicio de clasificación de documentos o envíos normalizados y no normalizados;Contrata este servicio para que Correos ordene sus envíos por ámbito y códigos postales, requisito imprescindible para presentar la correspondencia en las unidades de admisión masiva;2024-10-17 00:00:00;2024-10-17 00:00:00
TEINEPO;1;2024-10-17 00:00:00;es;;Tercer Intento de Entrega;Añade un tercer intento de entrega a tu envío certificado;Para el tercer intento de entrega se puede requerir entrega en mano bajo firma, como los dos intentos de entrega anteriores, o podrá indicarse que se realice depositando el envío directamente en el buzón;2024-10-17 00:00:00;2024-10-17 00:00:00
REICPO;1;2024-04-19 00:00:00;es;;Reembolso con ingreso en cuenta bajo SPU;Pago contra reembolso, con un máximo de 999,99 ?, para los envíos postales pertenecientes al SPU;La devolución del importe se realizará por Correos en la cuenta bancaria indicada por el remitente;2024-04-19 00:00:00;2025-01-16 00:00:00
EFHALO;1;2025-01-16 00:00:00;es;;Entrega en Franja Horaria Amplia;Elige el turno de reparto en el que quieres recibir el envío;Es posible elegir entre el turno de mañana o el de tarde;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;1;2025-01-16 00:00:00;es;;Entrega en Franja Horaria Reducida;Elige la franja horaria en la quieres recibir el envío;Es posible elegir entre cinco franjas horarias: 9-11 / 11-13 / 13-15 / 16-18 / 18-20;2025-01-16 00:00:00;2025-01-16 00:00:00
VADEPA;99;2025-07-31 00:00:00;es;;Valor Declarado de paqueteria;Asegura tu envío declarando su valor hasta un límite de 6.000 ?;El máximo de la indemnización dependerá de la cantidad asegurada;2025-08-04 00:00:00;2025-08-04 00:00:00
