cod_ambito_detalle;cod_ambito;cod_provincia;cod_pais;fec_creacion;fec_actualizacion
13434;134;34;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
13636;136;36;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
13737;137;37;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
13939;139;39;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14040;140;40;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14141;141;41;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14242;142;42;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14343;143;43;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14444;144;44;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14545;145;45;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14646;146;46;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14747;147;47;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14848;148;48;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
14949;149;49;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
15050;150;50;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
