cod_tramo;limite_min;limite_max;cod_medida;fec_creacion;fec_actualizacion
1050000250;101;250;1;2024-01-12 00:00:00;2024-01-12 00:00:00
1210495000;300001;495000;1;2024-01-19 00:00:00;2024-01-19 00:00:00
1210660000;495001;660000;1;2024-01-19 00:00:00;2024-01-19 00:00:00
1220015000;31;15000;2;2024-01-19 00:00:00;2024-01-19 00:00:00
1040999999;1;999999;1;2024-02-20 00:00:00;2024-02-20 00:00:00
1310001250;1090;1250;3;2024-02-20 00:00:00;2024-02-20 00:00:00
1310001330;1270;1330;3;2024-02-20 00:00:00;2024-02-20 00:00:00
1310001610;1420;1610;3;2024-02-20 00:00:00;2024-02-20 00:00:00
1010000250;1;250;1;2023-10-31 00:00:00;2024-04-19 00:00:00
1020002000;1;2000;1;2023-10-31 00:00:00;2024-04-19 00:00:00
1030015000;1;15000;1;2023-10-31 00:00:00;2024-04-19 00:00:00
1120001000;1;1000;1;2023-10-31 00:00:00;2024-04-19 00:00:00
1050000050;1;50;1;2024-01-12 00:00:00;2024-04-19 00:00:00
1210300000;150001;300000;1;2024-01-19 00:00:00;2024-04-19 00:00:00
1211500000;880001;1500000;1;2024-01-19 00:00:00;2024-04-19 00:00:00
1220000030;1;30;2;2024-01-19 00:00:00;2024-04-19 00:00:00
1210075000;1;75000;1;2024-04-19 00:00:00;2024-04-19 00:00:00
1210150000;75001;150000;1;2024-04-19 00:00:00;2024-04-19 00:00:00
1210880000;660001;880000;1;2024-04-19 00:00:00;2024-04-19 00:00:00
1060015000;10001;15000;1;2024-04-19 00:00:00;2024-04-19 00:00:00
1060020000;15001;20000;1;2024-04-19 00:00:00;2024-04-19 00:00:00
1410000001;1;1;4;2024-04-19 00:00:00;2024-04-19 00:00:00
1410000002;2;2;4;2024-04-19 00:00:00;2024-04-19 00:00:00
1410000003;3;3;4;2024-04-19 00:00:00;2024-04-19 00:00:00
1410000004;4;4;4;2024-04-19 00:00:00;2024-04-19 00:00:00
1410000005;5;5;4;2024-04-19 00:00:00;2024-04-19 00:00:00
1510005000;0;5000;5;2024-06-06 00:00:00;2024-06-06 00:00:00
1510015000;5001;15000;5;2024-06-06 00:00:00;2024-06-06 00:00:00
1510020000;15001;20000;5;2024-06-06 00:00:00;2024-06-06 00:00:00
1510030000;20001;30000;5;2024-06-06 00:00:00;2024-06-06 00:00:00
1510249999;30000;249999;5;2024-06-06 00:00:00;2024-06-06 00:00:00
1610000020;1;20;1;2024-08-30 00:00:00;2024-08-30 00:00:00
1610000050;21;50;1;2024-08-30 00:00:00;2024-08-30 00:00:00
1610000500;101;500;1;2024-08-30 00:00:00;2024-08-30 00:00:00
1130000500;1;500;1;2024-10-17 00:00:00;2024-10-17 00:00:00
1710002500;1;2500;5;2024-10-17 00:00:00;2024-10-17 00:00:00
1710005000;2501;5000;5;2024-10-17 00:00:00;2024-10-17 00:00:00
1710010000;5001;10000;5;2024-10-17 00:00:00;2024-10-17 00:00:00
1710015000;10001;15000;5;2024-10-17 00:00:00;2024-10-17 00:00:00
1310001400;1270;1400;3;2025-06-19 00:00:00;2025-06-19 00:00:00
3040000020;1;67500;1;2025-08-11 00:00:00;2025-08-11 00:00:00
