cod_producto_comercial;cod_modalidad;fec_alta;cod_ambito;fec_creacion;fec_actualizacion
PAGXJ1;BUUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;BUUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;RAUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;RAUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;RAUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;RAUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;ACUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;ACUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;ACUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;ACUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXC1;BUUAOF;2024-01-12 00:00:00;1;2024-01-12 00:00:00;2024-01-12 00:00:00
PAGXC1;BUUAOF;2024-01-12 00:00:00;2;2024-01-12 00:00:00;2024-01-12 00:00:00
PAGXC1;BUUAOF;2024-01-12 00:00:00;3;2024-01-12 00:00:00;2024-01-12 00:00:00
PAGXC1;BUUAOF;2024-01-12 00:00:00;4;2024-01-12 00:00:00;2024-01-12 00:00:00
PAGXC1;BUUAOF;2024-01-12 00:00:00;5;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;1;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;2;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;3;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;4;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;5;2024-01-12 00:00:00;2024-01-12 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;10;2024-01-19 00:00:00;2024-01-19 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;11;2024-01-19 00:00:00;2024-01-19 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;10;2024-01-19 00:00:00;2024-01-19 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;11;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;101;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;102;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;103;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;104;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;105;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;106;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;107;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;108;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;109;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;110;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;111;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;112;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;113;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;114;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;115;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;116;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;117;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;118;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;119;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;120;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;121;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;122;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXM1;PCUAOF;2024-01-19 00:00:00;123;2024-01-19 00:00:00;2024-01-19 00:00:00
