cod_va;cod_perfil;fec_alta;fec_baja;cod_sap;importe_base;importe_min;por_incremento;valor_complejidad;desc_precio_va;cod_formula;desc_formula;fec_creacion;fec_actualizacion
TEINEPO;1;2024-10-17 03:00:01;2024-12-31 00:00:00;S0098;2.90;0.00;0.00;1;Para envÃ­os de 100 a 500 g tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2024-10-17 00:00:00;2024-10-17 00:00:00
TEINEPO;1;2024-10-17 04:00:01;2024-12-31 00:00:00;S0098;5.90;0.00;0.00;2;Para envÃ­os de 500 a 1.000 g tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2024-10-17 00:00:00;2024-10-17 00:00:00
TEINEPO;1;2024-10-17 05:00:01;2024-12-31 00:00:00;S0098;6.40;0.00;0.00;3;Para envÃ­os de 1 a 2 kg tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2024-10-17 00:00:00;2024-10-17 00:00:00
VADEPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC058;0.00;1.50;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
SEESPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC059;0.03;1.00;1000.00;;Hasta (por_incremento) kg de peso: (importe_min) ?. Por cada kg de peso adicional, se sumarÃ¡ (importe_base) ?;3;Hasta peso mÃ­nimo (por_incremento) = importe fijo (importe_min). Para pesos superiores -> (importe_min) + (kg extra * importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
REICPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC057;0.00;1.75;2.75;;Se cobrarÃ¡ sobre el valor del reembolso el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
PEE5TO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC079;0.98;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
PEE10TO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC176;2.75;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
PEE15TO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC177;4.05;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
EEDPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC045;1.75;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
PINEPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC174;1.00;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
PELIPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC175;1.00;0.25;0.00;;Plazo igual o menor a 14 dÃ­as: (importe_base) ?. Plazo igual o superior a 16 dÃ­as, coste compuesto por dos conceptos: tarifa fija de (importe_base) ? + tarifa de (importe_min) ? por cada dÃ­a;5;Dias <= 14 -> (importe_base). Dias > 15 -> (importe_base) + (importe_min * n dias(Input-15));2025-01-16 00:00:00;2025-01-16 00:00:00
